shiptype_min,shiptype_max,type_name,description,detailed_description
10,19,Reserved,Unspecified, 
20,28,Wing In Grnd,Wing in Grnd,Wing In Ground Effect Vessel;
29,29,SAR Aircraft,Search and Rescue, 
30,30,Fishing,Fishing,Fishing Vessel;Trawler;Fishery Protection/Research;Fish Carrier;Fish Factory;Factory Trawler;Fish Storage Barge;Fishery Research Vessel;Fishery Patrol Vessel;Fishery Support Vessel
31,31,Tug,Tug,Towing Vessel;Tug/Tender;Tug/Supply Vessel;Tug/Fire Fighting Vessel;Tug;Tug/Pilot Ship;Anchor Handling Salvage Tug;Towing/Pushing;Tug/Ice Breaker;Tractor Tug;Tug/Support;Articulated Pusher Tug
32,32,Tug,Tug, 
33,33,Dredger,Special Craft,Suction Hopper Dredger;Dredger;Drill Ship;Grab Hopper Dredger;Grab Dredger;Sand Suction Dredger;Hopper Dredger;Cutter Suction Dredger;Cutter Suction Hopper Dredger;Suction Dredger;Bucket Dredger;Trailing Suction Hopper Dredge;Trailing Suction Dredger;Inland Dredger;Drilling Jack Up;Bucket Ladder Dredger;Drill Barge;Bucket Hopper Dredger;Bucket Dredger Pontoon;Bucket Wheel Suction Dredger;Dredging Pontoon;Backhoe Dredger;Suction Dredger Pontoon;Water Jet Dredging Pontoon;Grab Dredger Pontoon;Kelp Dredger
34,34,Dive Vessel,Special Craft,Diving Support Vessel;
35,35,Military Ops,Special Craft,Naval/Naval Auxiliary Vessel;Naval Auxiliary Tug;Logistics Naval Vessel;Mine Hunter;Minesweeper;Combat Vessel;Command Vessel;Naval Salvage Vessel;Torpedo Recovery Vessel;Naval Research Vessel;Naval Patrol Vessel;Troopship;Radar Vessel
36,36,Sailing Vessel,Sailing Vessel,Sailing Vessel;
37,37,Pleasure Craft,Pleasure Craft,Yacht;Museum Ship;Exhibition Ship;Floating Hotel/Restaurant;Theatre Vessel
38,38,Reserved,Unspecified, 
39,39,Reserved,Unspecified, 
40,49,High-Speed Craft,High-Speed Craft,Hydrofoil;Hovercraft
50,50,Pilot Vessel,Special Craft, 
